体育馆 
健身房 
游泳池 
比赛 
球赛 
输 
赢 
分数 
对⼿ 
体操 
冠军 
溜冰 
举重 
功夫 
⽻⽑球 
乒乓球 
体⼒ 
骑马 
橄榄球 
流汗 

