饭店
服务员
您好
欢迎
光临
菜
菜单
请
点菜
要
还
别的
再
碗
米饭
喝
稍等
快
上菜
买单
酸辣汤
西红柿炒鸡蛋
鱼香肉丝
想
吃
爱
辣
喜欢
那
去
上海
餐厅
怎么样
可以
尝
真
好吃
非常
麻婆豆腐
咕咾肉

