图书馆
怎么
走
一直
往
前
第
路口
向
左
右
拐
从
这里
到
多远
远
大约
米
客气
过
马路
路
坐
地铁
2号线
站
下车
人民公园
出租车
师傅
机场
赶
吧
学
汉语
给
发票

