么
人们
什
什么
他
他们
们
作
你
你们
工作
干什么
女
女人
奶
奶奶
她
她们
妈
妈妈
妹妹
姐妹
姐姐
亲
我
我们
母
母亲
父
父亲
父母
爷爷
爸爸
个子
儿
儿子
名
名字
女儿
女孩儿
子
子女
字
孙女
孙子
孩子

