一
三
三十
二
二十
八
八十
六
六十
十
十一
十三
十二
十八
十六
七
七十
两
两个
个
九
九十
五
五十
十七
十九
十五
十四
四
四十
一万
一个人
一千
一半
一百
万
三百
两个人
五千
人
八万
几
几个
千
半
半个
百
一天
丈
丈夫
两天
今
今天
半天
天
天天
夫
夫人
工
工人
干
